"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Chanukah: 8 Candles","1/1/2025","17:06","1/1/2025","17:06","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Rosh Chodesh Tevet","1/1/2025",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8th Day","2/1/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Candle lighting","3/1/2025","16:30","3/1/2025","16:30","false","Parashat Vayigash","4","Ramat Gan"
"Parashat Vayigash","4/1/2025",,,,"true","","3","Torah Reading"
"Havdalah","4/1/2025","17:29","4/1/2025","17:29","false","","4","Ramat Gan"
"Fast begins","10/1/2025","05:25","10/1/2025","05:25","false","Asara B’Tevet","4","Ramat Gan"
"Asara B’Tevet","10/1/2025",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Candle lighting","10/1/2025","16:36","10/1/2025","16:36","false","Parashat Vayechi","4","Ramat Gan"
"Parashat Vayechi","11/1/2025",,,,"true","","3","Torah Reading"
"Havdalah","11/1/2025","17:35","11/1/2025","17:35","false","","4","Ramat Gan"
"Candle lighting","17/1/2025","16:42","17/1/2025","16:42","false","Parashat Shemot","4","Ramat Gan"
"Parashat Shemot","18/1/2025",,,,"true","","3","Torah Reading"
"Havdalah","18/1/2025","17:41","18/1/2025","17:41","false","","4","Ramat Gan"
"Hebrew Language Day","21/1/2025",,,,"true","Promotes the Hebrew language in Israel and around the world","3","Jewish Holidays"
"Candle lighting","24/1/2025","16:49","24/1/2025","16:49","false","Parashat Vaera","4","Ramat Gan"
"Parashat Vaera","25/1/2025",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Sh’vat","25/1/2025",,,,"true","Molad Sh’vat: Wed; 17 minutes and 17 chalakim after 6:00","3",""
"Havdalah","25/1/2025","17:47","25/1/2025","17:47","false","","4","Ramat Gan"
"Rosh Chodesh Sh’vat","30/1/2025",,,,"true","Start of month of Sh'vat on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","31/1/2025","16:55","31/1/2025","16:55","false","Parashat Bo","4","Ramat Gan"
"Parashat Bo","1/2/2025",,,,"true","","3","Torah Reading"
"Havdalah","1/2/2025","17:53","1/2/2025","17:53","false","","4","Ramat Gan"
"Candle lighting","7/2/2025","17:02","7/2/2025","17:02","false","Parashat Beshalach","4","Ramat Gan"
"Shabbat Shirah","8/2/2025",,,,"true","Shabbat of Song","3","Jewish Holidays"
"Parashat Beshalach","8/2/2025",,,,"true","Shabbat Shirah","3","Torah Reading"
"Havdalah","8/2/2025","17:58","8/2/2025","17:58","false","","4","Ramat Gan"
"Tu BiShvat","13/2/2025",,,,"true","New Year for Trees","3","Jewish Holidays"
"Candle lighting","14/2/2025","17:08","14/2/2025","17:08","false","Parashat Yitro","4","Ramat Gan"
"Parashat Yitro","15/2/2025",,,,"true","","3","Torah Reading"
"Havdalah","15/2/2025","18:04","15/2/2025","18:04","false","","4","Ramat Gan"
"Candle lighting","21/2/2025","17:14","21/2/2025","17:14","false","Parashat Mishpatim","4","Ramat Gan"
"Parashat Mishpatim","22/2/2025",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Adar","22/2/2025",,,,"true","Molad Adar: Thu; 2 minutes and 0 chalakim after 19:00","3",""
"Havdalah","22/2/2025","18:10","22/2/2025","18:10","false","","4","Ramat Gan"
