Start Date,Start Time,End Date,End Time,Description
26/09/2025,18:14,26/09/2025,18:14,פָּרָשַׁת וַיֵּלֶךְ
27/09/2025,,,,שַׁבָּת שׁוּבָה
27/09/2025,19:07,27/09/2025,19:07,
03/10/2025,18:05,03/10/2025,18:05,פָּרָשַׁת הַאֲזִינוּ
04/10/2025,,,,
04/10/2025,18:58,04/10/2025,18:58,
10/10/2025,17:56,10/10/2025,17:56,פָּרָשַׁת סוּכּוֹת שַׁבָּת חוֹל הַמּוֹעֵד
11/10/2025,18:49,11/10/2025,18:49,
17/10/2025,17:47,17/10/2025,17:47,פָּרָשַׁת בְּרֵאשִׁית
18/10/2025,,,,
18/10/2025,18:41,18/10/2025,18:41,
24/10/2025,17:40,24/10/2025,17:40,פָּרָשַׁת נֹחַ
25/10/2025,,,,
25/10/2025,18:34,25/10/2025,18:34,
31/10/2025,16:33,31/10/2025,16:33,פָּרָשַׁת לֶךְ־לְךָ
01/11/2025,,,,
01/11/2025,17:28,01/11/2025,17:28,
07/11/2025,16:27,07/11/2025,16:27,פָּרָשַׁת וַיֵּרָא
08/11/2025,,,,
08/11/2025,17:23,08/11/2025,17:23,
14/11/2025,16:23,14/11/2025,16:23,פָּרָשַׁת חַיֵּי שָֹרָה
15/11/2025,,,,
15/11/2025,17:19,15/11/2025,17:19,
21/11/2025,16:20,21/11/2025,16:20,פָּרָשַׁת תּוֹלְדוֹת
22/11/2025,,,,
22/11/2025,17:17,22/11/2025,17:17,
28/11/2025,16:18,28/11/2025,16:18,פָּרָשַׁת וַיֵּצֵא
29/11/2025,,,,
29/11/2025,17:15,29/11/2025,17:15,
05/12/2025,16:17,05/12/2025,16:17,פָּרָשַׁת וַיִּשְׁלַח
06/12/2025,,,,
06/12/2025,17:16,06/12/2025,17:16,
12/12/2025,16:18,12/12/2025,16:18,פָּרָשַׁת וַיֵּשֶׁב
13/12/2025,,,,
13/12/2025,17:17,13/12/2025,17:17,
